trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
t_179870_b_4263_tn_0,,,760007,6,,0,0,1837.15325303167,0,,,,,1,1,,,,
t_179870_b_4263_tn_0,,,760008,7,,0,0,2199.91816007522,0,,,,,1,1,,,,
t_179870_b_4263_tn_0,06:20:00,06:20:00,760009,8,,0,0,2615.37584271192,1,,,,,1,1,,,,
t_179870_b_4263_tn_0,06:21:00,06:21:00,760010,9,,0,0,3063.36297758685,1,,,,,1,1,,,,
t_179870_b_4263_tn_0,06:22:00,06:22:00,760011,10,,0,0,3549.29418962132,1,,,,,1,1,,,,
t_179870_b_4263_tn_0,,,760012,11,,0,0,4340.21334636223,0,,,,,1,1,,,,
t_179870_b_4263_tn_0,,,760013,12,,0,0,4514.59819095409,0,,,,,1,1,,,,
t_179870_b_4263_tn_0,06:25:00,06:25:00,759581,13,,0,0,5924.03295900164,1,,,,,1,1,,,,
t_179870_b_4263_tn_0,,,759582,14,,0,0,6208.5085663055,0,,,,,1,1,,,,
t_179870_b_4263_tn_0,,,759583,15,,0,0,6413.67902731495,0,,,,,1,1,,,,
t_179870_b_4263_tn_0,06:27:00,06:27:00,759499,16,,0,0,6648.02806767,1,,,,,1,1,,,,
t_179871_b_4263_tn_0,17:30:00,17:30:00,759499,1,,0,0,0,1,,,,,1,1,,,,
t_179871_b_4263_tn_0,,,759789,2,,0,0,277.625102352596,0,,,,,1,1,,,,
t_179871_b_4263_tn_0,,,759790,3,,0,0,485.215381274234,0,,,,,1,1,,,,
t_179871_b_4263_tn_0,,,759791,4,,0,0,936.679751078193,0,,,,,1,1,,,,
t_179871_b_4263_tn_0,,,759792,5,,0,0,1316.15189073221,0,,,,,1,1,,,,
t_179871_b_4263_tn_0,17:34:00,17:34:00,759793,6,,0,0,1702.39039400875,1,,,,,1,1,,,,
t_179871_b_4263_tn_0,,,759795,7,,0,0,2254.20758384556,0,,,,,1,1,,,,
t_179871_b_4263_tn_0,17:34:00,17:34:00,759796,8,,0,0,2448.85991704325,1,,,,,1,1,,,,
t_179871_b_4263_tn_0,,,759797,9,,0,0,2775.53646643058,0,,,,,1,1,,,,
t_179871_b_4263_tn_0,17:37:00,17:37:00,759798,10,,0,0,3316.03619505115,1,,,,,1,1,,,,
t_179871_b_4263_tn_0,,,759799,11,,0,0,3430.27161613845,0,,,,,1,1,,,,
t_179871_b_4263_tn_0,,,759800,12,,0,0,3820.78086294677,0,,,,,1,1,,,,
t_179871_b_4263_tn_0,17:40:00,17:40:00,759801,13,,0,0,4835.0663935272,1,,,,,1,1,,,,
t_179871_b_4263_tn_0,,,759802,14,,0,0,5650.69179542266,0,,,,,1,1,,,,
t_179871_b_4263_tn_0,,,759803,15,,0,0,5945.46945954892,0,,,,,1,1,,,,
t_179871_b_4263_tn_0,,,759804,16,,0,0,6210.02451018751,0,,,,,1,1,,,,
t_179871_b_4263_tn_0,,,759733,17,,0,0,7150.38696591168,0,,,,,1,1,,,,
t_179871_b_4263_tn_0,17:44:00,17:44:00,759805,18,,0,0,7467.87857038318,1,,,,,1,1,,,,
t_179871_b_4263_tn_0,,,759806,19,,0,0,8038.61799190434,0,,,,,1,1,,,,
t_179871_b_4263_tn_0,,,759807,20,,0,0,8551.02930063501,0,,,,,1,1,,,,
t_179871_b_4263_tn_0,17:46:00,17:46:00,759808,21,,0,0,9783.76403142489,1,,,,,1,1,,,,
t_179871_b_4263_tn_0,,,759809,22,,0,0,10054.844746655,0,,,,,1,1,,,,
t_179871_b_4263_tn_0,,,759810,23,,0,0,10371.447139869,0,,,,,1,1,,,,
t_179871_b_4263_tn_0,,,759812,24,,0,0,11004.9439590395,0,,,,,1,1,,,,
t_179871_b_4263_tn_0,17:48:00,17:48:00,759813,25,,0,0,11371.1740578819,1,,,,,1,1,,,,
t_179871_b_4263_tn_0,,,759814,26,,0,0,12548.6452350439,0,,,,,1,1,,,,
